,DATE,DEXUSUK
0,1980-12-30,2.3900
1,1980-12-31,2.3890
2,1981-01-01,2.3890
3,1981-01-02,2.3820
4,1981-01-05,2.4155
5,1981-01-06,2.4225
6,1981-01-07,2.4115
7,1981-01-08,2.4035
8,1981-01-09,2.3950
9,1981-01-12,2.3970
10,1981-01-13,2.3880
11,1981-01-14,2.4025
12,1981-01-15,2.4005
13,1981-01-16,2.3935
14,1981-01-19,2.4050
15,1981-01-20,2.4185
16,1981-01-21,2.4270
17,1981-01-22,2.4030
18,1981-01-23,2.4070
19,1981-01-26,2.4160
20,1981-01-27,2.4020
21,1981-01-28,2.4083
22,1981-01-29,2.3968
23,1981-01-30,2.3655
24,1981-02-02,2.3490
25,1981-02-03,2.3505
26,1981-02-04,2.3560
27,1981-02-05,2.3405
28,1981-02-06,2.3400
29,1981-02-09,2.3405
30,1981-02-10,2.3370
31,1981-02-11,2.3375
32,1981-02-12,2.3375
33,1981-02-13,2.2845
34,1981-02-16,2.2845
35,1981-02-17,2.2630
36,1981-02-18,2.2660
37,1981-02-19,2.2840
38,1981-02-20,2.3100
39,1981-02-23,2.2440
40,1981-02-24,2.2330
41,1981-02-25,2.2280
42,1981-02-26,2.2265
43,1981-02-27,2.2040
44,1981-03-02,2.1805
45,1981-03-03,2.2050
46,1981-03-04,2.1980
47,1981-03-05,2.2040
48,1981-03-06,2.1925
49,1981-03-09,2.2150
50,1981-03-10,2.2280
51,1981-03-11,2.2165
52,1981-03-12,2.2190
53,1981-03-13,2.2170
54,1981-03-16,2.2365
55,1981-03-17,2.2490
56,1981-03-18,2.2785
57,1981-03-19,2.2805
58,1981-03-20,2.2630
59,1981-03-23,2.2495
60,1981-03-24,2.2655
61,1981-03-25,2.2625
62,1981-03-26,2.2450
63,1981-03-27,2.2260
64,1981-03-30,2.2375
65,1981-03-31,2.2325
66,1981-04-01,2.2460
67,1981-04-02,2.2180
68,1981-04-03,2.1950
69,1981-04-06,2.1750
70,1981-04-07,2.2030
71,1981-04-08,2.1960
72,1981-04-09,2.1900
73,1981-04-10,2.1850
74,1981-04-13,2.1630
75,1981-04-14,2.1758
76,1981-04-15,2.1530
77,1981-04-16,2.1540
78,1981-04-17,2.1540
79,1981-04-20,2.1575
80,1981-04-21,2.1617
81,1981-04-22,2.1865
82,1981-04-23,2.1745
83,1981-04-24,2.1670
84,1981-04-27,2.1630
85,1981-04-28,2.1560
86,1981-04-29,2.1430
87,1981-04-30,2.1395
88,1981-05-01,2.1430
89,1981-05-04,2.1180
90,1981-05-05,2.1135
91,1981-05-06,2.1168
92,1981-05-07,2.1035
93,1981-05-08,2.1155
94,1981-05-11,2.1010
95,1981-05-12,2.0875
96,1981-05-13,2.0775
97,1981-05-14,2.0663
98,1981-05-15,2.0745
99,1981-05-18,2.0882
100,1981-05-19,2.0765
101,1981-05-20,2.0810
102,1981-05-21,2.0680
103,1981-05-22,2.0725
104,1981-05-25,2.0725
105,1981-05-26,2.0660
106,1981-05-27,2.0600
107,1981-05-28,2.0680
108,1981-05-29,2.0700
109,1981-06-01,2.0575
110,1981-06-02,2.0360
111,1981-06-03,2.0160
112,1981-06-04,1.9400
113,1981-06-05,1.9300
114,1981-06-08,1.9400
115,1981-06-09,1.9405
116,1981-06-10,1.9705
117,1981-06-11,1.9490
118,1981-06-12,1.9570
119,1981-06-15,2.0020
120,1981-06-16,1.9948
121,1981-06-17,1.9970
122,1981-06-18,1.9760
123,1981-06-19,1.9720
124,1981-06-22,1.9918
125,1981-06-23,1.9982
126,1981-06-24,1.9790
127,1981-06-25,1.9530
128,1981-06-26,1.9490
129,1981-06-29,1.9435
130,1981-06-30,1.9300
131,1981-07-01,1.9025
132,1981-07-02,1.8840
133,1981-07-03,1.8930
134,1981-07-06,1.9000
135,1981-07-07,1.9025
136,1981-07-08,1.8790
137,1981-07-09,1.8770
138,1981-07-10,1.8925
139,1981-07-13,1.8805
140,1981-07-14,1.8620
141,1981-07-15,1.8900
142,1981-07-16,1.8825
143,1981-07-17,1.8815
144,1981-07-20,1.8670
145,1981-07-21,1.8450
146,1981-07-22,1.8607
147,1981-07-23,1.8545
148,1981-07-24,1.8622
149,1981-07-27,1.8600
150,1981-07-28,1.8635
151,1981-07-29,1.8580
152,1981-07-30,1.8570
153,1981-07-31,1.8400
154,1981-08-03,1.8015
155,1981-08-04,1.7935
156,1981-08-05,1.8055
157,1981-08-06,1.7980
158,1981-08-07,1.7905
159,1981-08-10,1.7710
160,1981-08-11,1.7760
161,1981-08-12,1.8115
162,1981-08-13,1.8040
163,1981-08-14,1.8020
164,1981-08-17,1.8225
165,1981-08-18,1.8290
166,1981-08-19,1.8315
167,1981-08-20,1.8595
168,1981-08-21,1.8765
169,1981-08-24,1.8490
170,1981-08-25,1.8235
171,1981-08-26,1.8450
172,1981-08-27,1.8425
173,1981-08-28,1.8490
174,1981-08-31,1.8450
175,1981-09-01,1.8320
176,1981-09-02,1.8415
177,1981-09-03,1.8445
178,1981-09-04,1.8430
179,1981-09-07,1.8430
180,1981-09-08,1.7935
181,1981-09-09,1.7810
182,1981-09-10,1.8040
183,1981-09-11,1.7790
184,1981-09-14,1.7950
185,1981-09-15,1.8330
186,1981-09-16,1.8475
187,1981-09-17,1.8320
188,1981-09-18,1.8340
189,1981-09-21,1.8540
190,1981-09-22,1.8310
191,1981-09-23,1.8115
192,1981-09-24,1.7885
193,1981-09-25,1.7855
194,1981-09-28,1.7790
195,1981-09-29,1.7945
196,1981-09-30,1.8030
197,1981-10-01,1.8310
198,1981-10-02,1.8180
199,1981-10-05,1.8545
200,1981-10-06,1.8470
201,1981-10-07,1.8690
202,1981-10-08,1.8985
203,1981-10-09,1.9010
204,1981-10-12,1.9010
205,1981-10-13,1.8550
206,1981-10-14,1.8530
207,1981-10-15,1.8470
208,1981-10-16,1.8310
209,1981-10-19,1.8400
210,1981-10-20,1.8190
211,1981-10-21,1.8212
212,1981-10-22,1.8148
213,1981-10-23,1.8205
214,1981-10-26,1.8050
215,1981-10-27,1.8108
216,1981-10-28,1.8245
217,1981-10-29,1.8315
218,1981-10-30,1.8620
219,1981-11-02,1.8725
220,1981-11-03,1.8725
221,1981-11-04,1.8780
222,1981-11-05,1.8725
223,1981-11-06,1.8750
224,1981-11-09,1.8920
225,1981-11-10,1.8670
226,1981-11-11,1.8670
227,1981-11-12,1.8945
228,1981-11-13,1.9070
229,1981-11-16,1.9130
230,1981-11-17,1.8930
231,1981-11-18,1.9115
232,1981-11-19,1.9110
233,1981-11-20,1.8970
234,1981-11-23,1.9037
235,1981-11-24,1.9185
236,1981-11-25,1.9280
237,1981-11-26,1.9280
238,1981-11-27,1.9560
239,1981-11-30,1.9550
240,1981-12-01,1.9455
241,1981-12-02,1.9525
242,1981-12-03,1.9330
243,1981-12-04,1.9415
244,1981-12-07,1.9350
245,1981-12-08,1.9265
246,1981-12-09,1.9225
