Date;Price
Dec 29, 2017;7687.77
Dec 28, 2017;7622.88
Dec 27, 2017;7620.68
Dec 22, 2017;7592.66
Dec 21, 2017;7603.98
Dec 20, 2017;7525.22
Dec 19, 2017;7544.09
Dec 18, 2017;7537.01
Dec 15, 2017;7490.57
Dec 14, 2017;7448.12
Dec 13, 2017;7496.51
Dec 12, 2017;7500.41
Dec 11, 2017;7453.48
Dec 08, 2017;7393.96
Dec 07, 2017;7320.75
Dec 06, 2017;7348.03
Dec 05, 2017;7327.5
Dec 04, 2017;7338.97
Dec 01, 2017;7300.49
Nov 30, 2017;7326.67
Nov 29, 2017;7393.56
Nov 28, 2017;7460.65
Nov 27, 2017;7383.9
Nov 24, 2017;7409.64
Nov 23, 2017;7417.24
Nov 22, 2017;7419.02
Nov 21, 2017;7411.34
Nov 20, 2017;7389.46
Nov 17, 2017;7380.68
Nov 16, 2017;7386.94
Nov 15, 2017;7372.61
Nov 14, 2017;7414.42
Nov 13, 2017;7415.18
Nov 10, 2017;7432.99
Nov 09, 2017;7484.1
Nov 08, 2017;7529.72
Nov 07, 2017;7513.11
Nov 06, 2017;7562.28
Nov 03, 2017;7560.35
Nov 02, 2017;7555.32
Nov 01, 2017;7487.96
Oct 31, 2017;7493.08
Oct 30, 2017;7487.81
Oct 27, 2017;7505.03
Oct 26, 2017;7486.5
Oct 25, 2017;7447.21
Oct 24, 2017;7526.54
Oct 23, 2017;7524.45
Oct 20, 2017;7523.23
Oct 19, 2017;7523.04
Oct 18, 2017;7542.87
Oct 17, 2017;7516.17
Oct 16, 2017;7526.97
Oct 13, 2017;7535.44
Oct 12, 2017;7556.24
Oct 11, 2017;7533.81
Oct 10, 2017;7538.27
Oct 09, 2017;7507.89
Oct 06, 2017;7522.87
Oct 05, 2017;7507.99
Oct 04, 2017;7467.58
Oct 03, 2017;7468.11
Oct 02, 2017;7438.84
Sep 29, 2017;7372.76
Sep 28, 2017;7322.82
Sep 27, 2017;7313.51
Sep 26, 2017;7285.74
Sep 25, 2017;7301.29
Sep 22, 2017;7310.64
Sep 21, 2017;7263.9
Sep 20, 2017;7271.95
Sep 19, 2017;7275.25
Sep 18, 2017;7253.28
Sep 15, 2017;7215.47
Sep 14, 2017;7295.39
Sep 13, 2017;7379.7
Sep 12, 2017;7400.69
Sep 11, 2017;7413.59
Sep 08, 2017;7377.6
Sep 07, 2017;7396.98
Sep 06, 2017;7354.13
Sep 05, 2017;7372.92
Sep 04, 2017;7411.47
Sep 01, 2017;7438.5
Aug 31, 2017;7430.62
Aug 30, 2017;7365.26
Aug 29, 2017;7337.43
Aug 25, 2017;7401.46
Aug 24, 2017;7407.06
Aug 23, 2017;7382.65
Aug 22, 2017;7381.74
Aug 21, 2017;7318.88
Aug 18, 2017;7323.98
Aug 17, 2017;7387.87
Aug 16, 2017;7433.03
Aug 15, 2017;7383.85
Aug 14, 2017;7353.89
Aug 11, 2017;7309.96
Aug 10, 2017;7389.94
Aug 09, 2017;7498.06
Aug 08, 2017;7542.73
Aug 07, 2017;7531.94
Aug 04, 2017;7511.71
Aug 03, 2017;7474.77
Aug 02, 2017;7411.43
Aug 01, 2017;7423.66
Jul 31, 2017;7372
Jul 28, 2017;7368.37
Jul 27, 2017;7443.01
Jul 26, 2017;7452.32
Jul 25, 2017;7434.82
Jul 24, 2017;7377.73
Jul 21, 2017;7452.91
Jul 20, 2017;7487.87
Jul 19, 2017;7430.91
Jul 18, 2017;7390.22
Jul 17, 2017;7404.13
Jul 14, 2017;7378.39
Jul 13, 2017;7413.44
Jul 12, 2017;7416.93
Jul 11, 2017;7329.76
Jul 10, 2017;7370.03
Jul 07, 2017;7350.92
Jul 06, 2017;7337.28
Jul 05, 2017;7367.6
Jul 04, 2017;7357.23
Jul 03, 2017;7377.09
Jun 30, 2017;7312.72
Jun 29, 2017;7350.32
Jun 28, 2017;7387.8
Jun 27, 2017;7434.36
Jun 26, 2017;7446.8
Jun 23, 2017;7424.13
Jun 22, 2017;7439.29
Jun 21, 2017;7447.79
Jun 20, 2017;7472.71
Jun 19, 2017;7523.81
Jun 16, 2017;7463.54
Jun 15, 2017;7419.36
Jun 14, 2017;7474.4
Jun 13, 2017;7500.44
Jun 12, 2017;7511.87
Jun 09, 2017;7527.33
Jun 08, 2017;7449.98
Jun 07, 2017;7478.62
Jun 06, 2017;7524.95
Jun 05, 2017;7525.76
Jun 02, 2017;7547.63
Jun 01, 2017;7543.77
May 31, 2017;7519.95
May 30, 2017;7526.51
May 26, 2017;7547.63
May 25, 2017;7517.71
May 24, 2017;7514.9
May 23, 2017;7485.29
May 22, 2017;7496.34
May 19, 2017;7470.71
May 18, 2017;7436.42
May 17, 2017;7503.47
May 16, 2017;7522.03
May 15, 2017;7454.37
May 12, 2017;7435.39
May 11, 2017;7386.63
May 10, 2017;7385.24
May 09, 2017;7342.21
May 08, 2017;7300.86
May 05, 2017;7297.43
May 04, 2017;7248.1
May 03, 2017;7234.53
May 02, 2017;7250.05
Apr 28, 2017;7203.94
Apr 27, 2017;7237.17
Apr 26, 2017;7288.72
Apr 25, 2017;7275.64
Apr 24, 2017;7264.68
Apr 21, 2017;7114.55
Apr 20, 2017;7118.54
Apr 19, 2017;7114.36
Apr 18, 2017;7147.5
Apr 13, 2017;7327.59
Apr 12, 2017;7348.99
Apr 11, 2017;7365.5
Apr 10, 2017;7348.94
Apr 07, 2017;7349.37
Apr 06, 2017;7303.2
Apr 05, 2017;7331.68
Apr 04, 2017;7321.82
Apr 03, 2017;7282.69
Mar 31, 2017;7322.92
Mar 30, 2017;7369.52
Mar 29, 2017;7373.72
Mar 28, 2017;7343.42
Mar 27, 2017;7293.5
Mar 24, 2017;7336.82
Mar 23, 2017;7340.71
Mar 22, 2017;7324.72
Mar 21, 2017;7378.34
Mar 20, 2017;7429.81
Mar 17, 2017;7424.96
Mar 16, 2017;7415.95
Mar 15, 2017;7368.64
Mar 14, 2017;7357.85
Mar 13, 2017;7367.08
Mar 10, 2017;7343.08
Mar 09, 2017;7314.96
Mar 08, 2017;7334.61
Mar 07, 2017;7338.99
Mar 06, 2017;7350.12
Mar 03, 2017;7374.26
Mar 02, 2017;7382.35
Mar 01, 2017;7382.9
Feb 28, 2017;7263.44
Feb 27, 2017;7253
Feb 24, 2017;7243.7
Feb 23, 2017;7271.37
Feb 22, 2017;7302.25
Feb 21, 2017;7274.83
Feb 20, 2017;7299.86
Feb 17, 2017;7299.96
Feb 16, 2017;7277.92
Feb 15, 2017;7302.41
Feb 14, 2017;7268.56
Feb 13, 2017;7278.92
Feb 10, 2017;7258.75
Feb 09, 2017;7229.5
Feb 08, 2017;7188.82
Feb 07, 2017;7186.22
Feb 06, 2017;7172.15
Feb 03, 2017;7188.3
Feb 02, 2017;7140.75
Feb 01, 2017;7107.65
Jan 31, 2017;7099.15
Jan 30, 2017;7118.48
Jan 27, 2017;7184.49
Jan 26, 2017;7161.49
Jan 25, 2017;7164.43
Jan 24, 2017;7150.34
Jan 23, 2017;7151.18
Jan 20, 2017;7198.44
Jan 19, 2017;7208.44
Jan 18, 2017;7247.61
Jan 17, 2017;7220.38
Jan 16, 2017;7327.13
Jan 13, 2017;7337.81
Jan 12, 2017;7292.37
Jan 11, 2017;7290.49
Jan 10, 2017;7275.47
Jan 09, 2017;7237.77
Jan 06, 2017;7210.05
Jan 05, 2017;7195.31
Jan 04, 2017;7189.74
Jan 03, 2017;7177.89
Dec 30, 2016;7142.83
Dec 29, 2016;7120.26
Dec 28, 2016;7106.08
Dec 23, 2016;7068.17
Dec 22, 2016;7063.68
Dec 21, 2016;7041.42
Dec 20, 2016;7043.96
Dec 19, 2016;7017.16
Dec 16, 2016;7011.64
Dec 15, 2016;6999.01
Dec 14, 2016;6949.19
Dec 13, 2016;6968.57
Dec 12, 2016;6890.42
Dec 09, 2016;6954.21
Dec 08, 2016;6931.55
Dec 07, 2016;6902.23
Dec 06, 2016;6779.84
Dec 05, 2016;6746.83
Dec 02, 2016;6730.72
Dec 01, 2016;6752.93
Nov 30, 2016;6783.79
Nov 29, 2016;6772
Nov 28, 2016;6799.47
Nov 25, 2016;6840.75
Nov 24, 2016;6829.2
Nov 23, 2016;6817.71
Nov 22, 2016;6819.72
Nov 21, 2016;6777.96
Nov 18, 2016;6775.77
Nov 17, 2016;6794.71
Nov 16, 2016;6749.72
