DATE,DEXUSUK
1980-12-30,2.3900
1980-12-31,2.3890
1981-01-01,.
1981-01-02,2.3820
1981-01-05,2.4155
1981-01-06,2.4225
1981-01-07,2.4115
1981-01-08,2.4035
1981-01-09,2.3950
1981-01-12,2.3970
1981-01-13,2.3880
1981-01-14,2.4025
1981-01-15,2.4005
1981-01-16,2.3935
1981-01-19,2.4050
1981-01-20,2.4185
1981-01-21,2.4270
1981-01-22,2.4030
1981-01-23,2.4070
1981-01-26,2.4160
1981-01-27,2.4020
1981-01-28,2.4083
1981-01-29,2.3968
1981-01-30,2.3655
1981-02-02,2.3490
1981-02-03,2.3505
1981-02-04,2.3560
1981-02-05,2.3405
1981-02-06,2.3400
1981-02-09,2.3405
1981-02-10,2.3370
1981-02-11,2.3375
1981-02-12,.
1981-02-13,2.2845
1981-02-16,.
1981-02-17,2.2630
1981-02-18,2.2660
1981-02-19,2.2840
1981-02-20,2.3100
1981-02-23,2.2440
1981-02-24,2.2330
1981-02-25,2.2280
1981-02-26,2.2265
1981-02-27,2.2040
1981-03-02,2.1805
1981-03-03,2.2050
1981-03-04,2.1980
1981-03-05,2.2040
1981-03-06,2.1925
1981-03-09,2.2150
1981-03-10,2.2280
1981-03-11,2.2165
1981-03-12,2.2190
1981-03-13,2.2170
1981-03-16,2.2365
1981-03-17,2.2490
1981-03-18,2.2785
1981-03-19,2.2805
1981-03-20,2.2630
1981-03-23,2.2495
1981-03-24,2.2655
1981-03-25,2.2625
1981-03-26,2.2450
1981-03-27,2.2260
1981-03-30,2.2375
1981-03-31,2.2325
1981-04-01,2.2460
1981-04-02,2.2180
1981-04-03,2.1950
1981-04-06,2.1750
1981-04-07,2.2030
1981-04-08,2.1960
1981-04-09,2.1900
1981-04-10,2.1850
1981-04-13,2.1630
1981-04-14,2.1758
1981-04-15,2.1530
1981-04-16,2.1540
1981-04-17,2.1540
1981-04-20,2.1575
1981-04-21,2.1617
1981-04-22,2.1865
1981-04-23,2.1745
1981-04-24,2.1670
1981-04-27,2.1630
1981-04-28,2.1560
1981-04-29,2.1430
1981-04-30,2.1395
1981-05-01,2.1430
1981-05-04,2.1180
1981-05-05,2.1135
1981-05-06,2.1168
1981-05-07,2.1035
1981-05-08,2.1155
1981-05-11,2.1010
1981-05-12,2.0875
1981-05-13,2.0775
1981-05-14,2.0663
1981-05-15,2.0745
1981-05-18,2.0882
1981-05-19,2.0765
1981-05-20,2.0810
1981-05-21,2.0680
1981-05-22,2.0725
1981-05-25,.
1981-05-26,2.0660
1981-05-27,2.0600
1981-05-28,2.0680
1981-05-29,2.0700
1981-06-01,2.0575
1981-06-02,2.0360
1981-06-03,2.0160
